#Types Before Cut: 11091
#Types After Cut: 9652
#Search Hits: 0
242	13	34.711	учились
243	17	33.826	получилось
244	17	33.826	пошла
245	28	33.222	обычно
246	28	33.222	таки
247	34	33.217	голос
248	15	33.180	будешь
249	15	33.180	понял
250	15	33.180	поняла
251	18	32.669	дом
252	113	32.445	даже
253	12	32.041	берег
254	12	32.041	детстве
255	12	32.041	квартиру
256	12	32.041	круто
257	12	32.041	любят
258	12	32.041	пятьдесят
259	12	32.041	смешно
260	19	31.921	лариса
261	49	31.819	всегда
262	20	31.435	дочка
263	20	31.435	другому
264	16	31.385	школа
265	16	31.385	языке
266	36	31.266	две
267	21	31.132	хоть
268	21	31.132	язык
269	24	30.905	принципе
270	14	30.644	домой
271	14	30.644	света
272	11	29.371	inan
273	11	29.371	давали
274	11	29.371	девочки
275	11	29.371	девяносто
276	11	29.371	здорово
277	11	29.371	знала
278	11	29.371	кадра
279	11	29.371	классно
280	11	29.371	кхм
281	11	29.371	понимаешь
282	11	29.371	расскажу
283	11	29.371	рассказчик
284	11	29.371	смеётся
285	11	29.371	смотри
286	11	29.371	соседка
287	11	29.371	училась
288	11	29.371	холодно
289	26	29.353	смысле
290	19	29.222	младший
291	156	29.067	или
292	15	28.957	играть
293	13	28.117	концерт
294	13	28.117	семья
295	13	28.117	ходить
296	26	27.713	самое
297	17	27.384	давайте
298	17	27.384	моей
299	18	27.030	понимаю
300	22	26.887	какую
301	22	26.887	часов
302	19	26.842	н
303	21	26.795	жить
304	10	26.701	бывают
305	10	26.701	вкус
306	10	26.701	восемьдесят
307	10	26.701	дед
308	10	26.701	дедушка
309	10	26.701	ехать
310	10	26.701	иии
311	10	26.701	картинка
312	10	26.701	кашель
313	10	26.701	нуу
314	10	26.701	озеро
315	10	26.701	пол
316	10	26.701	прикольно
317	10	26.701	своё
318	10	26.701	слушай
319	10	26.701	смешок
320	10	26.701	собака
321	10	26.701	ушёл
322	14	26.546	собственно
323	27	26.505	моя
324	15	25.663	ж
325	12	25.601	вдруг
326	12	25.601	весело
327	12	25.601	делаю
328	12	25.601	купил
329	12	25.601	поговорить
330	20	24.784	места
331	18	24.734	тему
332	19	24.717	слово
333	29	24.593	старший
334	146	24.421	был
335	13	24.152	какими
336	13	24.152	маленький
337	13	24.152	машина
338	13	24.152	честно
339	39	24.041	людей
340	9	24.031	n
341	9	24.031	ар
342	9	24.031	видишь
343	9	24.031	грустный
344	9	24.031	двенадцать
345	9	24.031	двести
346	9	24.031	женщина
347	9	24.031	кошки
348	9	24.031	папа
349	9	24.031	переехали
350	9	24.031	подожди
351	9	24.031	смесь
352	9	24.031	танцами
353	9	24.031	твой
354	9	24.031	учителя
355	9	24.031	чай
356	9	24.031	эмм
357	35	23.996	четыре
358	50	23.899	день
359	27	23.770	слова
360	14	23.369	вещи
361	14	23.369	мои
362	14	23.369	хотелось
363	11	23.097	квартире
364	20	22.974	друг
365	16	22.722	девять
366	16	22.722	читать
367	18	22.689	русский
368	30	22.687	чего
369	17	22.653	кем
370	36	22.547	одна
371	12	21.779	нравятся
372	21	21.606	долго
373	8	21.361	acc
374	8	21.361	komm
375	8	21.361	nom
376	8	21.361	ааa
377	8	21.361	брови
378	8	21.361	вертолет
379	8	21.361	говорящийа
380	8	21.361	говорящийб
381	8	21.361	грустно
382	8	21.361	делаешь
383	8	21.361	егэ
384	8	21.361	замечательно
385	8	21.361	звук
386	8	21.361	иду
387	8	21.361	интересного
388	8	21.361	колесико
389	8	21.361	любишь
390	8	21.361	лёва
391	8	21.361	мамой
392	8	21.361	мемы
393	8	21.361	моих
394	8	21.361	надя
395	8	21.361	неудобно
396	8	21.361	никит
397	8	21.361	одиннадцать
398	8	21.361	поехал
399	8	21.361	прихожу
400	8	21.361	смотрел
401	8	21.361	смотрела
402	8	21.361	типо
403	8	21.361	умер
404	8	21.361	учится
405	8	21.361	хе
406	8	21.361	эт
407	27	21.325	каждый
408	29	21.131	сама
409	13	21.101	бывает
410	13	21.101	смотреть
411	19	21.063	павел
412	14	20.755	d
413	14	20.755	надеюсь
414	28	20.662	совсем
415	10	20.609	забыл
416	10	20.609	интересные
417	10	20.609	рассказывала
418	10	20.609	ребята
419	16	20.604	видео
420	40	19.566	говорить
421	11	19.430	будто
422	11	19.430	знаете
423	11	19.430	пошел
424	27	19.127	ей
425	12	18.861	делали
